交易日期,证券简称,证券代码,成交价格(元),成交金额(万元),成交量(手),买入营业部,卖出营业部,是否专场
2025-01-13,伟测科技,688372,62.06,1861.8,30,中泰证券股份有限公司东北分公司,国联证券股份有限公司无锡梁清路证券营业部,否
2025-01-13,伟测科技,688372,62.06,1241.2,20,方正证券股份有限公司安阳紫薇大道证券营业部,国联证券股份有限公司无锡梁清路证券营业部,否
2025-01-13,京仪装备,688652,53.52,1016.88,19,机构专用,申港证券股份有限公司湖北分公司,否
2025-01-13,药明康德,603259,51.6,412.8,8,南京证券股份有限公司南京柳洲南路证券营业部,东兴证券股份有限公司宁德闽东中路证券营业部,否
2025-01-13,天岳先进,688234,45.41,908.2,20,高盛（中国）证券有限责任公司上海浦东新区世纪大道证券营业部,海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,天岳先进,688234,45.41,726.56,16,机构专用,海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,天岳先进,688234,45.41,227.05,5,中信建投证券股份有限公司北京望京证券营业部,海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,天岳先进,688234,45.41,204.35,4.5,中信证券股份有限公司总部(非营业场所),海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,天岳先进,688234,45.41,202.53,4.46,机构专用,海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,天岳先进,688234,45.41,202.53,4.46,机构专用,海通证券股份有限公司沈阳大西路证券营业部,否
2025-01-13,九号公司,689009,43.91,878.2,20,机构专用,中国国际金融股份有限公司上海分公司,否
2025-01-13,九号公司,689009,43.91,395.19,9,中信证券股份有限公司杭州婺江路证券营业部,中国国际金融股份有限公司上海分公司,否
2025-01-13,九号公司,689009,43.91,263.46,6,东北证券股份有限公司杭州教工路证券营业部,中国国际金融股份有限公司上海分公司,否
2025-01-13,九号公司,689009,43.91,219.55,5,中信证券股份有限公司总部(非营业场所),中国国际金融股份有限公司上海分公司,否
2025-01-13,九号公司,689009,43.91,219.55,5,机构专用,中国国际金融股份有限公司上海分公司,否
2025-01-13,九号公司,689009,43.91,201.99,4.6,中信证券股份有限公司上海分公司,中国国际金融股份有限公司上海分公司,否
