交易日期,证券简称,证券代码,成交价格(元),成交金额(万元),成交量(手),买入营业部,卖出营业部,是否专场
2025-01-13,医药ETF,512010,0.34,338,1000,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,中国银河证券股份有限公司总部,否
2025-01-09,医疗ETF,512170,0.31,308,1000,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,中信证券股份有限公司上海分公司,否
2025-01-09,医疗ETF,512170,0.31,308,1000,华泰证券股份有限公司苏州干将西路证券营业部,中信证券股份有限公司上海分公司,否
2025-01-09,医疗ETF,512170,0.31,92.4,300,华泰证券股份有限公司深圳后海中心路证券营业部,中国国际金融股份有限公司北京建国门外大街证券营业部,否
2025-01-09,医疗ETF,512170,0.3,87.69,292.3,中国中金财富证券有限公司福州五四路证券营业部,中国中金财富证券有限公司福州五四路证券营业部,否
2025-01-08,券商ETF,512000,1.03,205.8,200,中国国际金融股份有限公司北京建国门外大街证券营业部,国新证券股份有限公司福州五一路证券营业部,否
2025-01-07,沙特ETF,520830,1.02,808.17,790,瑞银证券有限责任公司上海花园石桥路证券营业部,华宝证券股份有限公司上海东大名路证券营业部,否
2025-01-03,500ETF,510500,5.52,1971.61,356.98,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-03,300ETF,510300,3.87,326.27,84.33,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-03,医疗ETF,512170,0.32,111.14,352.83,华泰证券股份有限公司苏州干将西路证券营业部,中信证券股份有限公司总部(非营业场所),否
2025-01-03,医疗ETF,512170,0.32,63,200,华泰证券股份有限公司苏州干将西路证券营业部,中信证券股份有限公司总部(非营业场所),否
2025-01-02,300ETF,510300,3.91,5628.98,1440,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-02,红利ETF,510880,3.28,5239.82,1597.99,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-02,红利ETF,510880,3.28,1639.5,500,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-02,50ETF,510050,2.67,746.76,280,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2025-01-02,综指ETF,510210,0.79,2448.16,3083.33,招商证券股份有限公司北京景辉街证券营业部,招商证券股份有限公司北京景辉街证券营业部,否
2024-12-31,转债ETF,511380,11.66,9328.8,800,机构专用,山西证券股份有限公司北京丽泽证券营业部,否
2024-12-30,转债ETF,511380,11.66,2332.4,200,机构专用,山西证券股份有限公司北京丽泽证券营业部,否
2024-12-27,证券ETF,512880,1.21,363.9,300,中国国际金融股份有限公司北京建国门外大街证券营业部,华泰证券股份有限公司深圳后海中心路证券营业部,否
2024-12-27,酒ETF,512690,0.62,622,1000,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,国泰君安证券股份有限公司总部,否
2024-12-26,H股ETF,510900,0.87,347.2,400,华泰证券股份有限公司合肥创新大道证券营业部,兴业证券股份有限公司重庆分公司,否
2024-12-25,证券ETF,512880,1.2,660.55,550,中国中金财富证券有限公司总部,中国国际金融股份有限公司北京建国门外大街证券营业部,否
2024-12-24,医药ETF,512010,0.37,629,1700,中国中金财富证券有限公司北京北三环东路证券营业部,广发证券股份有限公司福州儒江西路证券营业部,否
2024-12-20,券商ETF,512000,1.15,312.54,271.77,华泰证券股份有限公司宜昌西陵一路证券营业部,中国国际金融股份有限公司北京建国门外大街证券营业部,否
2024-12-19,证券ETF,512880,1.2,772.71,645,中国国际金融股份有限公司北京建国门外大街证券营业部,华泰证券股份有限公司苏州干将西路证券营业部,否
2024-12-19,证券ETF,512880,1.2,479.2,400,中国国际金融股份有限公司北京建国门外大街证券营业部,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,否
2024-12-19,芯片ETF,512760,1.13,513.23,456.2,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,广发证券股份有限公司上海浦东新区东方路证券营业部,否
2024-12-19,军工ETF,512660,1.05,679.4,647.05,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,广发证券股份有限公司上海浦东新区东方路证券营业部,否
2024-12-19,光伏ETF,515790,0.78,302.25,387,华泰证券股份有限公司上海浦东新区世纪大道证券营业部,广发证券股份有限公司上海浦东新区东方路证券营业部,否
2024-12-19,医药ETF,512010,0.37,627.3,1700,国新证券股份有限公司福州五一路证券营业部,中国国际金融股份有限公司北京建国门外大街证券营业部,否
